x,y,z
736,181,48.88509958982468
718,237,121.01155146956444
716,256,149.09018327792487
710,251,165.5996572226286
705,247,174.66501146554947
691,246,213.77361118793488
684,225,216.2064015865326
674,201,213.58283460140228
667,189,209.1753512620926
665,181,205.2498698234558
666,182,196.61353528499603
671,190,193.44682395458221
676,200,193.4338241815567
686,228,190.0831162929535
694,249,187.41734623908997
725,283,180.60824275016785
749,297,180.2959382534027
776,312,183.63463878631592
797,294,193.05737614631653
817,284,199.5000571012497
814,245,221.00393176078796
813,215,233.76071155071259
808,177,245.66486775875092
804,156,248.5786348581314
799,128,252.31365859508514
795,117,239.24385905265808
795,110,226.2997806072235
797,110,211.69739365577698
804,114,204.69317138195038
811,120,200.5936324596405
823,135,200.15313923358917
833,149,203.94055545330048
850,183,209.35644209384918
864,213,212.09891140460968
870,266,203.0306041240692
875,303,200.63970386981964
879,335,200.69404542446136
889,333,205.43350279331207
900,331,219.14684772491455
922,298,242.93778836727142
940,272,267.31603741645813
964,246,289.9140954017639
974,235,313.4428083896637
985,218,335.13657450675964
991,209,362.89844512939453
999,197,387.9356920719147
998,190,402.8837978839874
998,178,389.0185475349426
997,173,383.3660662174225
998,164,374.3212938308716
998,159,363.61789107322693
996,152,368.54150891304016
997,149,394.2942678928375
990,141,397.6319491863251
983,137,399.6737241744995
978,128,376.13667845726013
973,122,365.55524468421936
972,112,328.30112278461456
976,105,311.87117397785187
990,97,277.0294487476349
1004,92,272.6825177669525
1022,113,246.34826183319092
1030,148,245.21743953227997
1039,195,233.19405615329742
1041,233,245.49017548561096
1060,271,243.13141703605652
1054,243,236.52878999710083
1053,207,230.42880594730377
1049,152,223.6072987318039
1042,107,212.68731355667114
1016,59,209.60417985916138
1012,50,213.82300555706024
1004,37,207.66661167144775
1000,33,213.79078328609467
996,23,211.18754744529724
995,19,213.71954381465912
999,16,213.88345956802368
1008,15,224.42954778671265
1021,16,210.12631058692932
1036,20,201.98728442192078
1063,19,193.79408359527588
1082,18,185.16840934753418
1108,30,179.6585738658905
1129,40,183.06379318237305
1140,35,189.43621814250946
1131,34,188.60633969306946
1120,36,190.22614061832428
1107,27,196.54124975204468
1093,18,220.5922156572342
1093,19,232.26758241653442
1099,19,250.08157491683957
1111,25,255.17899692058566
1118,29,251.1712282896042
1135,39,234.66800451278687
1149,53,228.15462350845337
1165,69,224.75572228431702
1178,77,228.96473705768585
1191,86,240.44036865234375
1194,88,248.0232447385788
1190,97,254.84066307544705
1184,104,249.48294758796692
